time,K_trace,Hamiltonian_constraint
0.0588,-0.000540036,-8.29484e-07
0.0589,-0.000540955,-8.32207e-07
0.059,-0.000541875,-8.34934e-07
0.0591,-0.000542794,-8.37666e-07
0.0592,-0.000543714,-8.40403e-07
0.0593,-0.000544633,-8.43144e-07
0.0594,-0.000545553,-8.4589e-07
0.0595,-0.000546472,-8.4864e-07
0.0596,-0.000547392,-8.51395e-07
0.0597,-0.000548311,-8.54155e-07
0.0598,-0.000549231,-8.56919e-07
0.0599,-0.00055015,-8.59688e-07
0.06,-0.00055107,-8.62462e-07
0.0601,-0.000551989,-8.6524e-07
0.0602,-0.000552909,-8.68023e-07
0.0603,-0.000553829,-8.7081e-07
0.0604,-0.000554748,-8.73602e-07
0.0605,-0.000555668,-8.76399e-07
0.0606,-0.000556587,-8.79201e-07
0.0607,-0.000557507,-8.82007e-07
0.0608,-0.000558426,-8.84817e-07
0.0609,-0.000559346,-8.87633e-07
0.061,-0.000560265,-8.90453e-07
0.0611,-0.000561185,-8.93277e-07
0.0612,-0.000562105,-8.96106e-07
0.0613,-0.000563024,-8.9894e-07
0.0614,-0.000563944,-9.01779e-07
0.0615,-0.000564863,-9.04622e-07
0.0616,-0.000565783,-9.07469e-07
0.0617,-0.000566703,-9.10322e-07
0.0618,-0.000567622,-9.13179e-07
0.0619,-0.000568542,-9.1604e-07
0.062,-0.000569462,-9.18907e-07
0.0621,-0.000570381,-9.21778e-07
0.0622,-0.000571301,-9.24653e-07
0.0623,-0.00057222,-9.27533e-07
0.0624,-0.00057314,-9.30418e-07
0.0625,-0.00057406,-9.33307e-07
0.0626,-0.000574979,-9.36202e-07
0.0627,-0.000575899,-9.391e-07
0.0628,-0.000576819,-9.42004e-07
0.0629,-0.000577739,-9.44912e-07
0.063,-0.000578658,-9.47824e-07
0.0631,-0.000579578,-9.50741e-07
0.0632,-0.000580498,-9.53663e-07
0.0633,-0.000581417,-9.5659e-07
0.0634,-0.000582337,-9.59521e-07
0.0635,-0.000583257,-9.62457e-07
0.0636,-0.000584176,-9.65397e-07
0.0637,-0.000585096,-9.68342e-07
0.0638,-0.000586016,-9.71292e-07
0.0639,-0.000586936,-9.74246e-07
0.064,-0.000587855,-9.77205e-07
0.0641,-0.000588775,-9.80168e-07
0.0642,-0.000589695,-9.83137e-07
0.0643,-0.000590615,-9.86109e-07
0.0644,-0.000591534,-9.89087e-07
0.0645,-0.000592454,-9.92069e-07
0.0646,-0.000593374,-9.95056e-07
0.0647,-0.000594294,-9.98047e-07
0.0648,-0.000595214,-1.00104e-06
0.0649,-0.000596133,-1.00404e-06
0.065,-0.000597053,-1.00705e-06
0.0651,-0.000597973,-1.01006e-06
0.0652,-0.000598893,-1.01307e-06
0.0653,-0.000599813,-1.01609e-06
